Function,Dim,Algorithm,Population,Iterations,Mean,Std,Best,Time
Rastrigin,2,ABC,100,100,0.0030744341479612912,0.007312878246137489,0.0,0.29428850412368773
Rastrigin,2,PSO,100,200,0.006346593016659341,0.014482995705036103,0.0,0.15058138370513915
Rastrigin,2,ABC,100,200,0.00021365340902388397,0.0005601976166583816,0.0,0.4106881856918335
Rastrigin,5,PSO,10,50,7.382156174568126,4.648821278756914,2.097421441343883,0.007692182064056396
Rastrigin,5,ABC,10,50,21.64192331039274,8.788706623955655,7.631163568804318,0.016468501091003417
Rastrigin,5,PSO,10,100,6.4466155429496395,5.029008376146203,0.9950085411294864,0.014805090427398682
Rastrigin,5,ABC,10,100,22.138682621199564,7.013670809977985,9.075153457210817,0.016587376594543457
Rastrigin,5,PSO,10,200,12.425806882842004,8.08153855570547,0.0017386793047506899,0.01674504280090332
Rastrigin,5,ABC,10,200,23.103490867111983,6.155436884001173,10.096701452206425,0.0189325213432312
Rastrigin,5,PSO,20,50,5.296107587357346,3.001757743990584,1.9963575727465468,0.014904522895812988
Rastrigin,5,ABC,20,50,17.729564142230217,3.838458988721504,10.359210075068987,0.03148314952850342
Rastrigin,5,PSO,20,100,5.733394021917439,3.925239038929349,0.994974290889914,0.027319896221160888
Rastrigin,5,ABC,20,100,17.971182658043993,5.2297900506523565,9.022169813378603,0.036030709743499756
Rastrigin,5,PSO,20,200,11.276867355875527,9.095628544109674,0.009950220692260814,0.030487525463104247
Rastrigin,5,ABC,20,200,17.598370984052707,4.927851325539105,9.58369429560446,0.03371509313583374
Rastrigin,5,PSO,50,50,2.419934274761748,1.170086781421508,0.9979445275700485,0.03648772239685059
Rastrigin,5,ABC,50,50,11.981119178961034,3.6799074236079115,5.090606489672993,0.08299863338470459
Rastrigin,5,PSO,50,100,2.797812535566029,2.8062776656820834,0.00300582976056063,0.06862894296646119
Rastrigin,5,ABC,50,100,14.552717769370975,3.5756616825989695,8.275888169259673,0.0864375352859497
Rastrigin,5,PSO,50,200,3.8724564768813727,4.383885365901125,2.0605739337042905e-13,0.10402413606643676
Rastrigin,5,ABC,50,200,14.426316951143622,3.131594939666038,8.988653200381187,0.08999967575073242
Rastrigin,5,PSO,100,50,1.980627775552217,1.5499944527199818,0.016725289000753207,0.07333366870880127
Rastrigin,5,ABC,100,50,12.04557664894291,2.806245847388534,5.68208947411425,0.17939460277557373
Rastrigin,5,PSO,100,100,1.486134235957928,2.1539784273727074,3.093046530011634e-08,0.1420449733734131
Rastrigin,5,ABC,100,100,11.746674087606058,3.033631345878899,6.691147084930343,0.19444876909255981
Rastrigin,5,PSO,100,200,2.381474524814329,3.6579523168506003,0.0,0.225831937789917
Rastrigin,5,ABC,100,200,11.687574929026756,2.5782645102202277,6.997506481517043,0.17880061864852906
Rastrigin,10,PSO,10,50,44.06373516249691,10.727914527974786,19.07095425057581,0.00911409854888916
